Instance,YearOfRecord,HousingSituation,CrimeLevel,WorkExperience,Satisfation,Gender,Age,Country,SizeOfCity,Profession,UniversityDegree,WearsGlasses,HairColor,Height,YearlyIncomeInAddition,Income
24,1940,0,66,17,Average,male,33,Albania,963784,senior program manager,Master,1,Red,225,0 EUR,4109.04
25,1940,0,68,17,Average,male,37,Albania,843544,receivables/payables analyst,Master,0,#N/A,211,0 EUR,4461.02
26,1940,0,60,12,#N/A,female,25,Albania,82286,recruitment assistant,No,0,Brown,119,0 EUR,1985.36
27,1940,0,51,10,Average,male,15,Albania,778185,senior human capital partnership and performance management analyst,#N/A,1,Blond,210,0 EUR,2368.14
28,1940,0,73,20,Happy,#N/A,48,Albania,93772,ordnance handling expert,Bachelor,1,Brown,186,0 EUR,2935.48
29,1940,0,72,19,Happy,male,47,Albania,2724,optical network engineer,Bachelor,1,Blond,161,0 EUR,3017.95
30,1940,0,66,15,Happy,male,33,Albania,60516,office coordinator,Bachelor,0,Brown,220,0 EUR,3225.1
31,1940,0,53,10,Average,female,17,Albania,248879,quality control senior engineer,No,1,Brown,153,0 EUR,2631.55
32,1940,0,62,13,Happy,other,28,Albania,209240,news analyst,No,0,Brown,203,0 EUR,2854.11
33,1940,0,77,23,Happy,male,62,Albania,90170,insurance sales agent,No,1,Red,172,143533.25 EUR,145982.46
34,1940,0,64,14,#N/A,#N/A,31,Albania,134725,product manager,Bachelor,0,Brown,158,0 EUR,3367.88
35,1940,0,77,22,Happy,female,62,Albania,515098,foster care program evaluator,Master,0,Black,153,0 EUR,4148.33
36,1940,0,64,13,Happy,male,31,Albania,577991,maintenance worker,No,0,Black,189,0 EUR,2965.31
37,1940,0,55,10,#N/A,male,19,Albania,2568273,public policy and training coordinator,Master,0,Brown,161,0 EUR,4591.06
38,1940,0,55,9,Happy,other,19,Albania,359959,it helpdesk manager,No,1,Blond,209,0 EUR,2744.12
39,1940,0,57,11,Happy,male,21,Albania,86746,nursing supervisor,Bachelor,0,Blond,209,0 EUR,2384.69
40,1940,0,72,21,Average,other,46,Albania,333843,veterinarian,Bachelor,0,Black,189,0 EUR,3790.7
41,1940,0,56,9,Somewhat Happy,other,20,Albania,2407794,integrity control officer,No,1,Brown,153,0 EUR,3070.07
42,1940,0,14,6.3,Unhappy,female,23,Algeria,1206961,human resources college aide,Bachelor,1,#N/A,159,0 EUR,8965.24
43,1940,0,68,14,#N/A,male,29,Angola,62460,receivables/payables analyst,No,1,Blond,178,0 EUR,4794.41
44,1940,0,72,14,Unhappy,male,35,Angola,76870,lead design engineer,Bachelor,0,Brown,183,0 EUR,5558.79
45,1940,0,57,11,Unhappy,male,17,Angola,1317425,service contract procurement analyst,Bachelor,1,#N/A,174,16225.1 EUR,23364.72
46,1940,0,56,9,Unhappy,other,16,Angola,199962,public policy and training coordinator,Master,1,Black,152,0 EUR,7513.45
47,1940,0,0,15,#N/A,male,34,Argentina,934463,photogrammetrist,#N/A,0,Blond,199,0 EUR,6812.35
48,1940,0,0,13,Unhappy,male,32,Argentina,678128,ip telephony design engineer,Master,0,Black,174,85685.08 EUR,96890.04
49,1940,0,60,15,Happy,male,43,Armenia,90423,desk clerk,Bachelor,1,#N/A,212,0 EUR,2131.11
50,1940,0,50,13,Average,female,23,Armenia,1540873,shuttle car operator,Master,0,Brown,164,0 EUR,4643.37
51,1940,0,67,26,Happy,other,68,Armenia,72478,lead expense management analyst,No,0,Blond,209,0 EUR,2275.5
52,1940,0,57,16,Somewhat Happy,other,36,Armenia,1370504,physical therapist assistant,No,1,Blond,178,0 EUR,3191.68
53,1940,0,66,25,Average,male,64,Armenia,354318,program assistant,PhD,0,Black,145,0 EUR,4793.8
54,1940,0,62,20,Somewhat Happy,female,50,Armenia,1911381,parts salesperson,No,1,Brown,145,0 EUR,3252.16
55,1940,0,59,19,Average,other,40,Armenia,3327,surgeon,Bachelor,0,Blond,201,0 EUR,2967.31
56,1940,0,53,15,Average,unknown,29,Armenia,51444,staff analyst,Master,0,Blond,185,0 EUR,2736.13
57,1940,0,52,13,Average,other,26,Armenia,2110556,security officer,Bachelor,1,Black,161,25718.74 EUR,29609.98
58,1940,0,55,14,Happy,#N/A,33,Armenia,240329,occupational therapist assistant,Master,1,Blond,169,0 EUR,3888.7
59,1940,0,61,20,Average,unknown,47,Armenia,2191999,review unit supervisor,No,1,#N/A,195,0 EUR,3341.18
60,1940,0,61,20,Average,female,47,Armenia,103155,senior data scientist,Bachelor,1,Black,167,0 EUR,3666.52
61,1940,0,63,21,Average,female,52,Armenia,1006318,public records aide,No,0,Blond,147,0 EUR,3464.17
62,1940,0,48,9,Happy,male,21,Armenia,2326,learning management,Bachelor,1,Black,153,0 EUR,2118.47
63,1940,0,47,10,Happy,#N/A,19,Armenia,858885,pile-driver operator,Bachelor,0,Brown,166,0 EUR,3119
64,1940,0,45,11,Average,other,17,Armenia,804660,service station attendant,Master,0,#N/A,204,0 EUR,3580.62
65,1940,0,63,22,Average,#N/A,52,Armenia,942898,projects coordinator,Master,0,Black,198,0 EUR,3789.54
66,1940,0,48,9,Somewhat Happy,other,20,Armenia,1084905,loan counselor,Bachelor,0,Brown,168,0 EUR,3503.91
67,1940,0,66,24,Somewhat Happy,male,65,Armenia,1422222,messenger,#N/A,0,Blond,156,0 EUR,2882.95
68,1940,0,67,26,Somewhat Happy,female,69,Armenia,1176370,oil burner specialist,Master,1,Black,159,0 EUR,4936.55
69,1940,0,62,21,Average,female,50,Armenia,56769,program management office assistant,No,0,Black,162,0 EUR,2023.83
70,1940,0,54,14,Somewhat Happy,male,31,Armenia,1623322,ordered deductions analyst,#N/A,0,#N/A,189,92026.24 EUR,94503.6
71,1940,0,69,30,Average,male,77,Armenia,76802,public relations specialist,No,1,Brown,218,0 EUR,2630.19
72,1940,0,67,26,Happy,other,69,Armenia,61101,meter reader,Bachelor,1,Black,200,0 EUR,2572.83
73,1940,0,48,11,Happy,other,21,Armenia,841344,pest control aide,Bachelor,1,Black,178,0 EUR,3293.11
74,1940,0,52,15,Average,female,26,Armenia,69609,word processor ,PhD,0,Blond,196,0 EUR,3428.01
75,1940,0,47,10,Happy,male,19,Armenia,890972,payment analyst,Master,0,Blond,167,0 EUR,3769.16
76,1940,0,47,10,Happy,male,19,Armenia,780003,penalty processing unit cashier,No,0,Blond,202,0 EUR,2528.14
77,1940,0,54,14,Somewhat Happy,other,31,Armenia,2316497,policeman,#N/A,0,Black,162,0 EUR,2587.19
78,1940,0,57,15,Happy,male,37,Armenia,25563,nursing supervisor,Master,0,Black,148,0 EUR,2834.12
79,1940,0,64,24,Average,male,58,Armenia,96778,retail buyer,Bachelor,0,Black,160,0 EUR,2349.53
80,1940,0,63,20,Happy,male,54,Armenia,797094,investigative consultant,Bachelor,0,Blond,177,0 EUR,3458.82
81,1940,0,50,13,Average,#N/A,24,Armenia,793102,section chief,Bachelor,0,Blond,176,0 EUR,3321.02
82,1940,0,48,6,Somewhat Happy,male,21,Armenia,1906636,certified specialist,Bachelor,0,Brown,200,0 EUR,3290.58
83,1940,0,67,27,Average,unknown,70,Armenia,1843253,procurement clerk,Bachelor,0,Blond,190,0 EUR,4618.43
84,1940,0,69,27,Happy,other,75,Armenia,308610,information security officer,Bachelor,1,Blond,160,0 EUR,3948.82
85,1940,0,56,17,#N/A,male,35,Armenia,872953,staff analyst level ii,Master,1,Brown,163,0 EUR,4069.7
86,1940,0,66,26,Average,male,63,Armenia,1694440,scanning operator,Bachelor,0,Black,201,0 EUR,4024.05
87,1940,0,49,10,Happy,other,22,Armenia,296426,medical technician,Bachelor,0,Black,176,0 EUR,3139.9
88,1940,0,55,11,Happy,male,33,Armenia,22386,dynamic crm developer,PhD,0,Black,156,0 EUR,2820.64
89,1940,0,46,11,Average,female,18,Armenia,2669503,scientistscientist,Master,1,Red,175,81830.28 EUR,86296.31
90,1940,0,69,31,Average,#N/A,78,Armenia,766881,staff analyst,No,0,Black,150,0 EUR,3591.49
91,1940,0,62,21,Average,other,50,Armenia,645706,regulatory compliance agency attorney,No,0,Blond,171,0 EUR,3119.42
92,1940,0,50,11,Happy,male,24,Armenia,321813,juvenile justice trainer,Bachelor,0,Black,189,124887.29 EUR,128013.87
93,1940,0,61,21,Average,female,47,Armenia,1102733,technical project manager/product owner,Master,0,Black,169,0 EUR,4829.32
94,1940,0,64,22,Somewhat Happy,other,58,Armenia,49302282,jeweler,Bachelor,0,Black,207,0 EUR,3952.71
95,1940,0,49,11,Happy,female,22,Armenia,589427,pipefitter,#N/A,1,Red,157,3328.72 EUR,5566.05
96,1940,0,58,16,Average,male,38,Armenia,17418,program contract analyst,No,0,Black,158,0 EUR,1815.57
97,1940,0,55,14,Happy,male,32,Armenia,997197,manager,PhD,1,Brown,183,0 EUR,4293.4
98,1940,0,49,11,Happy,other,22,Armenia,55549,mediation coordinator,Bachelor,0,Black,208,154614.18 EUR,156780.79
99,1940,0,50,12,Average,male,23,Armenia,31180,product advisor,#N/A,0,Black,180,40905.62 EUR,42388.41
100,1940,0,54,14,Somewhat Happy,male,31,Armenia,1246146,pharmacist,Master,0,#N/A,152,0 EUR,4194.27
101,1940,0,60,19,Somewhat Happy,female,45,Armenia,1768554,policy analyst,Bachelor,1,Black,161,0 EUR,3802.58
102,1940,0,43,9,Somewhat Happy,male,15,Armenia,1107987,petroleum technician,Bachelor,1,Black,188,0 EUR,3588.68
103,1940,0,55,16,#N/A,other,32,Armenia,15486,therapist,Bachelor,0,Blond,156,0 EUR,2443.1
104,1940,0,65,24,Happy,female,62,Armenia,16191,occupational therapist assistant,Master,0,#N/A,158,0 EUR,3019.24
105,1940,0,146,25,Unhappy,other,67,Australia,87510,mapping technician,Bachelor,1,Blond,168,0 EUR,3995.85
106,1940,0,141,25,Unhappy,other,59,Australia,51733,senior human capital partnership and performance management analyst,Master,0,#N/A,193,0 EUR,4634.83
107,1940,0,113,11,Unhappy,female,26,Australia,1390602,it support technician,Master,0,Brown,151,121393.31 EUR,127114.3
108,1940,0,135,19,Unhappy,unknown,50,Australia,27654,it - project manager,0,1,Brown,158,0 EUR,5697.1
109,1940,0,107,13,Unhappy,other,22,Australia,2619954,teller,Bachelor,1,Black,199,0 EUR,5480.77
110,1940,0,115,16,Unhappy,male,28,Australia,61631,wireless coordinator,Bachelor,1,Blond,193,48479.82 EUR,52240.04
111,1940,0,119,16,Unhappy,male,31,Australia,1400811,summer communications assistant,Bachelor,0,Blond,172,0 EUR,5650.34
112,1940,0,113,11,Unhappy,female,26,Australia,28162,labor relations attorney,#N/A,0,Black,182,0 EUR,2553.01
113,1940,0,125,18,#N/A,unknown,37,Australia,8221,ship loaders,Bachelor,1,Blond,181,0 EUR,3989.63
114,1940,0,123,15,Unhappy,female,35,Australia,561763,physician assistant,Bachelor,0,Black,143,0 EUR,4412.72
115,1940,0,138,20,Unhappy,female,54,Australia,1254269,labor relations specialist,Bachelor,1,Blond,173,0 EUR,5349.03
116,1940,0,123,15,Unhappy,male,35,Australia,37647,operations associate,PhD,0,Red,209,0 EUR,5042.28
117,1940,0,121,15,#N/A,male,33,Australia,40010,project coordinator,Master,1,Blond,191,0 EUR,4861.87
118,1940,0,128,19,Unhappy,other,40,Australia,1040691,supervising nurse,Bachelor,0,Red,157,0 EUR,5525.63
119,1940,0,122,17,Unhappy,male,34,Australia,275753,strategic operations policy analyst,Master,0,Blond,158,0 EUR,5841.99
120,1940,0,137,21,#N/A,female,52,Australia,1378075,quality management specialist,Bachelor,0,Blond,138,109443.62 EUR,115158.28
121,1940,0,138,22,Unhappy,male,54,Australia,102211,office manager,Master,0,Black,204,0 EUR,5400.88
122,1940,0,135,20,#N/A,male,50,Australia,55976,medical assistant,Master,1,Blond,166,0 EUR,4610.5
123,1940,0,115,13,#N/A,female,28,Australia,961970,research assistant,Master,0,Blond,152,0 EUR,5618.14
124,1940,0,102,11,Unhappy,male,19,Australia,1388737,quality control case reviewer,No,1,Brown,174,0 EUR,4324.83
125,1940,0,115,14,Unhappy,male,28,Australia,2694359,senior inspector,Bachelor,0,Brown,169,0 EUR,5401.18
126,1940,0,98,10,Unhappy,female,17,Australia,521410,seasonal city park worker,Master,1,Blond,185,0 EUR,5231.34
127,1940,0,16,14,Happy,female,43,Austria,39363,compliance officer,No,1,Black,172,0 EUR,251.99
128,1940,0,15,17,Average,unknown,35,Austria,566617,space analyst,Bachelor,0,#N/A,161,0 EUR,1005.61
129,1940,0,13,8,Somewhat Happy,other,20,Austria,1408496,front end developer,#N/A,0,Black,205,0 EUR,678.88
130,1940,0,14,13,Average,#N/A,26,Austria,809,recruiting & onboarding coordinator,Bachelor,0,Black,178,0 EUR,288.78
131,1940,0,17,20,Somewhat Happy,other,51,Austria,1088925,mailroom control clerk,Master,0,Black,195,0 EUR,1791.11
132,1940,0,16,17,Happy,male,44,Austria,686176,mapping technician,Bachelor,1,Red,167,0 EUR,963.97
133,1940,0,17,23,Average,female,56,Austria,300295,school mental health training coordinator,#N/A,1,Black,149,0 EUR,758.01
134,1940,0,15,15,Average,female,33,Austria,11616,retail buyer,Master,0,Blond,147,0 EUR,322.03
135,1940,0,18,27,Average,other,67,Austria,35132,senior analyst,Master,1,Red,167,0 EUR,389.09
136,1940,0,17,24,Average,other,55,Austria,1387232,tax examiner,Bachelor,1,Black,152,0 EUR,1724.3
137,1940,0,15,15,Average,female,32,Austria,96380,staff auditor,Master,1,Black,134,0 EUR,389.16
138,1940,0,11,8,Somewhat Happy,male,14,Austria,2575485,nuclear technicians,Master,1,Black,169,0 EUR,1574.6
139,1940,0,17,19,Happy,female,51,Austria,751961,janitorial worker,PhD,0,Black,144,0 EUR,1331.17
140,1940,0,17,21,Average,other,51,Austria,242667,public health nurse,Master,0,Brown,178,0 EUR,1417.79
141,1940,0,17,23,#N/A,female,57,Austria,1378101,program planner,No,1,Black,166,0 EUR,1542.05
142,1940,0,15,15,Average,male,30,Austria,75853,student data analyst,#N/A,1,Blond,147,0 EUR,282.39
143,1940,0,14,12,Somewhat Happy,male,27,Austria,1602679,mailroom section supervisor,No,1,Black,194,0 EUR,1164.58
144,1940,0,18,26,Average,male,65,Austria,888597,research scientist,PhD,0,Red,204,0 EUR,1919.24
145,1940,0,13,7,Somewhat Happy,#N/A,18,Austria,1495043,electrical engineer,Bachelor,1,Blond,189,0 EUR,1211.85
146,1940,0,13,8,Happy,other,20,Austria,14160778,hostess,No,0,Black,172,0 EUR,247.62
147,1940,0,13,12,Average,#N/A,19,Austria,13968,systems administrator - computer software,Bachelor,0,Unknown,208,0 EUR,298.96
148,1940,0,17,19,Happy,other,46,Austria,855609,police surgeon,No,1,Blond,191,0 EUR,1012.07
149,1940,0,19,31,Average,male,80,Austria,1114018,rigger,No,1,Blond,165,0 EUR,1933.11
150,1940,0,13,10,Average,other,18,Austria,689030,process messenger,Bachelor,0,#N/A,202,0 EUR,821.29
151,1940,0,16,18,Average,female,40,Austria,21153,senior data analyst,Master,1,Brown,167,0 EUR,534.77
152,1940,0,14,14,Average,unknown,24,Austria,62905,Aircraft Maintenance Engineer,Master,1,Blond,186,0 EUR,634.52
153,1940,0,18,23,Happy,male,60,Austria,47916,ordnance handling expert,Bachelor,1,Blond,165,0 EUR,605.51
154,1940,0,14,13,Average,male,23,Austria,4714,senior police administrative aide,PhD,0,Red,199,0 EUR,451.84
155,1940,0,17,19,Happy,male,46,Austria,60855,office manager,Master,1,Red,179,0 EUR,502.59
156,1940,0,13,11,Average,male,20,Austria,1643108,school mental health consultant,No,1,Brown,170,30097.41 EUR,31356.78
157,1940,0,16,13,Happy,other,38,Austria,10212,economic analyst,Bachelor,0,Blond,189,0 EUR,222.64
158,1940,0,14,14,Average,male,27,Austria,66390,quality assurance project manager,Bachelor,0,Blond,202,0 EUR,311.7
159,1940,0,12,6.3,Average,female,17,Austria,2197839,radio and telecommunications equipment installer,#N/A,1,Brown,138,0 EUR,894.55
160,1940,0,14,13,Average,male,28,Austria,133339,quality assurance specialist,#N/A,0,Black,149,33700.32 EUR,34246.75
161,1940,0,16,15,Happy,female,36,Austria,910791,office coordinator,#N/A,0,Black,192,0 EUR,821.14
162,1940,0,15,14,Average,female,31,Austria,43153,public policy and training coordinator,Bachelor,1,Blond,129,0 EUR,345.83
163,1940,0,14,14,Average,male,25,Austria,1129316,temporary painter,Bachelor,1,Black,160,0 EUR,1594.05
164,1940,0,15,14,Somewhat Happy,other,32,Austria,1655735,neigborhood resiliency specialist,No,0,Black,168,0 EUR,1251.95
165,1940,0,11,9,Average,#N/A,14,Austria,72672,quality assurance manager,#N/A,0,Brown,178,0 EUR,218.67
166,1940,0,13,10,Happy,female,19,Austria,33467,police surgeon,No,1,Black,161,0 EUR,273.36
167,1940,0,12,10,Average,#N/A,15,Austria,2823845,securities commodities and financial services sales agent,Bachelor,1,Black,193,0 EUR,1430.08
168,1940,0,13,8,Happy,other,20,Austria,25962,furniture coordinator,Master,0,Black,200,0 EUR,304.45
169,1940,0,16,18,Average,male,40,Austria,45197,roof bolter,PhD,0,Brown,202,0 EUR,629.92
170,1940,0,17,21,Happy,female,55,Austria,90717,mechanical engineer,No,0,Blond,148,0 EUR,368.09
171,1940,0,18,25,Average,other,59,Austria,1365377,singer,No,1,Black,185,0 EUR,1741.8
172,1940,0,16,17,Somewhat Happy,male,42,Austria,1958912,letterer and sign painter,Bachelor,0,Blond,202,0 EUR,1512.71
173,1940,0,16,17,Happy,other,43,Austria,67687,lead expense management analyst,Master,1,Black,181,0 EUR,552.28
174,1940,0,16,18,Average,#N/A,38,Austria,2774031,senior program manager,No,1,Brown,209,0 EUR,1349.44
175,1940,0,15,12,Happy,male,30,Austria,342893,information systems and quality analyst,Bachelor,0,Black,159,81608.21 EUR,82486.92
176,1940,0,16,19,Average,male,42,Austria,52995,senior budget analyst,No,1,Black,170,0 EUR,415.76
177,1940,0,11,7,Happy,male,14,Austria,1442,lease analyst,Bachelor,1,Black,187,0 EUR,279.82
178,1940,0,16,20,Average,unknown,44,Austria,23520,stationary engineer,No,0,Blond,154,0 EUR,478.91
179,1940,0,14,11,Somewhat Happy,#N/A,23,Austria,1354005,occupational therapist assistant,No,0,Unknown,204,0 EUR,1127.66
180,1940,0,18,24,Average,female,60,Austria,85189,rail-track laying and maintenance equipment operator,Bachelor,1,Blond,137,0 EUR,575.25
181,1940,0,12,10,Average,other,15,Austria,1034610,senior general counsel,Bachelor,1,#N/A,198,68702.81 EUR,70182.9
182,1940,0,15,13,Happy,#N/A,34,Austria,83471,insurance underwriter,0,0,Red,152,0 EUR,504.8
183,1940,0,16,17,Somewhat Happy,male,42,Austria,1541121,musician,No,1,#N/A,187,0 EUR,1225.67
184,1940,0,15,13,Somewhat Happy,male,30,Austria,1207914,medical scientist,Bachelor,0,Brown,149,0 EUR,1372.64
185,1940,0,17,18,Happy,male,46,Austria,30083,leather workers,No,1,Black,195,0 EUR,422.56
186,1940,0,14,8,Happy,male,24,Austria,58523,court liaison officer,Bachelor,1,Brown,162,0 EUR,255.83
187,1940,0,15,13,Average,other,29,Austria,779122,probation officer,No,0,Black,170,0 EUR,713.26
188,1940,0,13,11,Average,male,18,Austria,45101,property acquisition coordinator,#N/A,0,Blond,216,0 EUR,281.67
189,1940,0,15,15,Average,0,33,Austria,21745,product owner,Bachelor,0,Black,153,0 EUR,460.39
190,1940,0,17,21,Happy,male,56,Austria,178638,maintenance worker,No,0,Black,174,0 EUR,848.08
191,1940,0,15,16,Average,#N/A,34,Austria,25506,project director,Bachelor,0,Black,186,0 EUR,345.95
192,1940,0,16,19,Average,male,45,Austria,21959,regulatory compliance agency attorney,0,0,Black,177,0 EUR,614.99
193,1940,0,16,17,Somewhat Happy,unknown,41,Austria,2165743,prepress technician,Master,0,#N/A,162,0 EUR,2055.84
194,1940,0,17,20,Somewhat Happy,female,52,Austria,1154265,marine oilermate,Bachelor,1,Brown,150,0 EUR,1508.92
195,1940,0,15,14,Somewhat Happy,other,34,Austria,1419747,junior accountant,Master,0,#N/A,170,0 EUR,1740.1
196,1940,0,17,20,Average,male,48,Austria,1905176,property acquisition coordinator,#N/A,0,Black,141,92520.2 EUR,93541.13
197,1940,0,13,8,Happy,male,18,Austria,71730,materials engineer,No,1,Black,143,0 EUR,227.21
198,1940,0,14,11,Happy,#N/A,24,Austria,52475,maintenance facilitator,No,1,Black,201,28183.8 EUR,28361.56
199,1940,0,15,13,Happy,female,30,Austria,10111,metal work mechanic,Master,1,Black,175,0 EUR,442.84
200,1940,0,15,13,Happy,female,33,Austria,354209,janitor,Bachelor,1,Black,158,0 EUR,836.37
201,1940,0,15,15,Average,male,33,Austria,1519895,processor,PhD,0,Black,214,0 EUR,1970.11
202,1940,0,16,18,Average,male,38,Austria,31570,space scientists,Bachelor,1,Blond,168,0 EUR,549.9
203,1940,0,14,13,Average,other,24,Austria,1368127,service desk agent,No,0,Brown,171,0 EUR,1279.3
204,1940,0,18,28,Average,other,64,Austria,31128,Aerobic Instructor,Bachelor,1,Red,198,0 EUR,595.75
205,1940,0,12,12,Average,unknown,16,Austria,27738,#N/A,Bachelor,1,Black,171,0 EUR,441.35
206,1940,0,12,10,Average,0,17,Austria,82379,quality assurance engineer,PhD,0,Brown,194,0 EUR,403.41
207,1940,0,13,11,Happy,male,22,Austria,67636,plan examiner,Bachelor,0,Blond,198,0 EUR,334.24
208,1940,0,15,16,Average,male,33,Austria,473610,senior intergroup relations officer,Bachelor,1,Blond,200,0 EUR,1048.79
209,1940,0,18,23,Happy,#N/A,59,Austria,42275,occupational therapist assistant,No,1,Blond,164,0 EUR,485.25
210,1940,0,15,9,Happy,male,32,Austria,735824,budget analyst,Bachelor,1,Red,202,0 EUR,714.24
211,1940,0,15,15,Average,female,29,Austria,1514195,x-ray technician,No,0,Blond,157,0 EUR,1489.92
212,1940,0,16,16,Happy,other,39,Austria,24772,packer,Master,0,Black,161,0 EUR,471.61
213,1940,0,15,15,Average,other,32,Austria,28972,qa analyst,Bachelor,0,Black,171,0 EUR,223.25
214,1940,0,13,9,Happy,male,22,Austria,186477,intern,Bachelor,0,Blond,153,0 EUR,804.26
215,1940,0,17,20,Average,female,49,Austria,19509,real estate manager,No,1,Blond,154,0 EUR,328.84
216,1940,0,15,13,Happy,female,30,Austria,284393,marine engineer,Bachelor,1,#N/A,179,47813.98 EUR,48662.96
217,1940,0,15,16,Average,female,31,Austria,533836,x-ray technician,PhD,0,Black,143,0 EUR,1488.24
218,1940,0,12,10,Average,female,16,Austria,12458,staff counsel,PhD,1,Brown,133,139982.21 EUR,140383.82
219,1940,0,16,17,#N/A,male,37,Austria,29375,procurement clerk,Master,0,Brown,196,0 EUR,448.74
220,1940,0,15,15,Happy,male,34,Austria,57442,network administrator,No,1,Brown,192,0 EUR,316.28
221,1940,0,16,18,Average,male,41,Austria,1086162,resident engineer,Bachelor,1,Black,160,0 EUR,1452.79
222,1940,0,14,12,Average,male,24,Austria,467585,process server,#N/A,0,Black,178,0 EUR,991.44
223,1940,0,14,12,Average,other,23,Austria,449012,program manager,Bachelor,1,Blond,162,0 EUR,907.13
224,1940,0,19,27,Happy,male,74,Austria,277391,mail clerk,Bachelor,0,Brown,176,0 EUR,1157.41
225,1940,0,13,9,Happy,male,22,Austria,26227,graphic artist,No,1,Black,197,0 EUR,252.66
226,1940,0,16,17,Average,other,37,Austria,160387,projects coordinator,#N/A,1,Brown,207,0 EUR,926.89
227,1940,0,16,15,Happy,male,41,Austria,54586,health promoter,No,0,Black,177,0 EUR,322.19
228,1940,0,16,18,Average,female,37,Austria,123984,stucco mason,Master,1,Blond,167,0 EUR,1065.79
229,1940,0,16,15,Somewhat Happy,female,40,Austria,1922485,human rights specialist,No,1,Black,138,0 EUR,1200.68
230,1940,0,13,11,Average,male,21,Austria,54976,senior cook,PhD,1,Black,136,56054.73 EUR,56552.44
231,1940,0,13,11,Happy,other,20,Austria,74697,prepress technician,Master,1,Blond,186,0 EUR,430.11
232,1940,0,18,24,Happy,male,60,Austria,409256,plumber,No,0,Blond,216,40231.08 EUR,41415.43
233,1940,0,14,14,Average,female,27,Austria,733042,sewing machine operator,Bachelor,0,Black,160,0 EUR,965.63
234,1940,0,12,9,Happy,other,16,Austria,504237,payroll systems analyst,No,0,Blond,206,0 EUR,647.37
235,1940,0,15,10,Somewhat Happy,unknown,33,Austria,1940085,child care worker,Bachelor,1,#N/A,170,0 EUR,1244.77
236,1940,0,15,13,Somewhat Happy,male,30,Austria,3881870,mailroom control clerk,#N/A,0,Brown,214,0 EUR,1451.47
237,1940,0,19,28,Somewhat Happy,other,78,Austria,2340231,janitor,No,1,Black,166,0 EUR,1465.6
238,1940,0,16,14,Happy,female,37,Austria,47754,general manager ,Master,0,Black,155,0 EUR,408.06
239,1940,0,15,14,#N/A,female,30,Austria,1603028,radio repair mechanic,Master,0,Brown,144,0 EUR,1626.2
240,1940,0,16,18,Average,male,40,Austria,66525,research scientist,No,0,Black,174,0 EUR,328.58
